City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
272,Killybegs,IE,54.6333,-8.45,45.73,93,99,5.06,overcast clouds
273,Eyl,SO,7.9803,49.8164,73.31,75,82,12.68,broken clouds
274,Hearst,CA,49.6835,-83.6665,-1.95,93,100,11.1,light snow
275,Faya,SA,18.3851,42.4509,55.51,58,17,5.06,few clouds
276,Kurchum,KZ,48.5722,83.6542,12.9,97,100,4.14,overcast clouds
277,Port Shepstone,ZA,-30.7414,30.455,77.13,82,100,14.83,light rain
278,Besikduzu,TR,41.052,39.2284,37.29,90,100,9.93,light rain
279,Barinas,VE,8.6226,-70.2075,78.76,70,91,3.83,overcast clouds
280,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,40,67,20.13,broken clouds
281,Ardea,IT,41.6123,12.5143,51.64,89,0,2.3,clear sky
282,East London,ZA,-33.0153,27.9116,72.59,89,99,11.14,light rain
283,Airai,TL,-8.9266,125.4092,66.45,81,95,3.06,overcast clouds
284,Yumen,CN,40.2833,97.2,30.61,41,100,5.59,overcast clouds
285,Grindavik,IS,63.8424,-22.4338,31.95,100,40,11.5,light snow
286,Knysna,ZA,-34.0363,23.0471,67.75,91,97,5.82,overcast clouds
287,Shellbrook,CA,53.2168,-106.4011,-4.77,94,11,3.02,few clouds
288,Touros,BR,-5.1989,-35.4608,80.02,79,100,12.77,overcast clouds
289,Sola,VU,-13.8833,167.55,78.37,88,100,18.9,overcast clouds
290,Mastic Beach,US,40.7668,-72.8521,55.78,83,0,15.99,clear sky
291,Nara,JP,34.6851,135.8049,39.49,40,74,5.93,broken clouds
292,Agucadoura,PT,41.4318,-8.7804,53.24,75,17,5.93,few clouds
293,Diapaga,BF,12.0708,1.7889,69.22,15,80,11.92,broken clouds
294,Qaqortoq,GL,60.7167,-46.0333,15.46,63,100,6.93,overcast clouds
295,Zhezkazgan,KZ,47.8043,67.7144,-4.02,77,75,6.71,mist
296,Namwala,ZM,-15.7504,26.4384,65.57,98,100,3.87,overcast clouds
297,Selikhino,RU,50.3672,137.4996,1.53,88,100,8.63,overcast clouds
298,Buala,SB,-8.145,159.5921,84.65,72,99,1.72,light rain
299,Teresa,PH,14.5833,121.2333,85.28,73,76,16.28,broken clouds
300,Agnibilekrou,CI,7.1344,-3.2047,73.29,87,93,2.73,overcast clouds
301,Bathsheba,BB,13.2167,-59.5167,77.61,78,40,20.71,scattered clouds
302,Poum,NC,-20.2333,164.0167,79.41,73,97,17.9,overcast clouds
303,Namibe,AO,-15.1961,12.1522,73.31,78,98,5.41,overcast clouds
304,Lasa,IT,46.6166,10.7002,34.36,41,76,2.08,broken clouds
305,Nouna,BF,12.7333,-3.8667,75.22,17,4,12.19,clear sky
306,Foligno,IT,42.944,12.7011,43.0,64,5,3.2,clear sky
307,Wahpeton,US,46.2652,-96.6059,3.92,78,20,0.0,few clouds
308,Juneau,US,58.3019,-134.4197,36.21,97,100,6.91,snow
309,Tasiilaq,GL,65.6145,-37.6368,15.96,74,91,5.59,overcast clouds
310,Carnarvon,AU,-24.8667,113.6333,77.67,58,0,17.2,clear sky
311,Banda Aceh,ID,5.5577,95.3222,80.35,77,48,10.67,scattered clouds
312,Lagoa,PT,39.05,-27.9833,58.08,72,84,10.11,broken clouds
313,Konitsa,GR,40.0486,20.7567,30.43,76,0,2.28,clear sky
314,Elat,IL,29.5581,34.9482,50.68,73,6,5.91,clear sky
315,Najran,SA,17.4924,44.1277,70.45,47,8,7.0,clear sky
316,Sterling,US,39.0062,-77.4286,65.17,55,20,13.8,few clouds
317,Puerto Carreno,CO,6.189,-67.4859,81.63,66,95,6.53,overcast clouds
318,San Quintin,MX,30.4833,-115.95,54.79,48,7,8.05,clear sky
319,Cabo San Lucas,MX,22.8909,-109.9124,67.51,72,100,4.61,overcast clouds
320,Hay River,CA,60.8156,-115.7999,-18.42,69,40,8.05,scattered clouds
321,Sur,OM,22.5667,59.5289,72.82,36,2,3.76,clear sky
322,Fomboni,KM,-12.28,43.7425,81.95,72,61,12.71,broken clouds
323,Laguna,US,38.421,-121.4238,52.09,37,0,3.44,clear sky
324,Cacule,BR,-14.5033,-42.2222,71.46,63,99,2.77,overcast clouds
325,Kavaratti,IN,10.5669,72.642,79.88,73,27,6.91,scattered clouds
326,Tadine,NC,-21.55,167.8833,79.09,59,99,13.22,overcast clouds
327,Concepcion Del Oro,MX,24.6333,-101.4167,57.04,8,0,10.49,clear sky
328,Caldwell,US,43.6629,-116.6874,37.9,51,0,9.22,clear sky
329,Xianyang,CN,34.3378,108.7026,40.24,81,100,2.24,mist
330,Ariquemes,BR,-9.9133,-63.0408,74.07,96,100,3.56,overcast clouds
331,Inongo,CD,-1.95,18.2667,75.09,76,100,3.67,overcast clouds
332,Patrasaer,IN,23.2167,87.5167,64.71,60,0,0.56,clear sky
333,Havoysund,NO,70.9963,24.6622,32.23,84,31,15.95,scattered clouds
334,Muros,ES,42.7762,-9.0603,48.16,89,99,4.92,overcast clouds
335,Potosi,BO,-19.5836,-65.7531,43.57,88,100,4.03,overcast clouds
336,Whitefish,US,48.4111,-114.3376,22.75,74,20,0.0,few clouds
337,Innisfail,AU,-17.5333,146.0333,76.55,95,100,14.5,light rain
338,Acapulco,MX,16.8634,-99.8901,80.42,69,0,6.91,clear sky
339,Makakilo City,US,21.3469,-158.0858,77.32,65,75,11.5,heavy intensity rain
340,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.75,40,0,11.5,clear sky
341,Esperance,AU,-33.8667,121.9,70.23,55,41,0.6,scattered clouds
342,Rapar,IN,23.5667,70.6333,68.22,59,10,5.28,clear sky
343,Torbay,CA,47.6666,-52.7314,24.28,94,0,14.97,clear sky
344,Arica,CL,-18.475,-70.3042,76.55,73,100,1.14,overcast clouds
345,Morant Bay,JM,17.8815,-76.4093,78.42,82,6,9.89,clear sky
346,Naze,JP,28.3667,129.4833,61.72,68,79,11.86,broken clouds
347,Ustyuzhna,RU,58.8394,36.4321,-5.53,100,100,1.72,overcast clouds
